Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,928
192.168.1.35,216.239.32.223,TCP,65508,443,85
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,928
192.168.1.35,216.239.32.223,TCP,65508,443,85
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
192.168.1.35,216.239.32.223,TCP,65508,443,1466
